algorithm,position,score_rank,score,x_id,handle,display_name,followers_count,cohort_follow_count,cohort_follow_share,registry_state,entity_id,entity_kind,entity_name,explanation
entity-overlap-v3,674,376,320.0,4157611,willknight,Will Knight,21932,320,0.1269337564458548,unknown,,,,Followed by 320 of 2521 complete active Registry entities.
entity-overlap-v3,676,377,319.0,999823638932189184,mila_quebec,Mila - Institut québécois d'IA,36449,319,0.12653708845696152,unknown,,,,Followed by 319 of 2521 complete active Registry entities.
entity-overlap-v3,680,378,318.0,107225267,sapinker,Steven Pinker,857471,318,0.12614042046806823,unknown,,,,Followed by 318 of 2521 complete active Registry entities.
entity-overlap-v3,683,379,317.0,1236101,benedictevans,Benedict Evans,350978,317,0.12574375247917494,unknown,,,,Followed by 317 of 2521 complete active Registry entities.
entity-overlap-v3,684,379,317.0,2529971,cdixon,Chris Dixon,933344,317,0.12574375247917494,unknown,,,,Followed by 317 of 2521 complete active Registry entities.
entity-overlap-v3,689,380,316.0,1123336792021897216,aclmeeting,ACL 2026,23729,316,0.12534708449028165,unknown,,,,Followed by 316 of 2521 complete active Registry entities.
entity-overlap-v3,693,381,315.0,845968426011119616,vectorinst,Vector Institute,29637,315,0.12495041650138834,unknown,,,,Followed by 315 of 2521 complete active Registry entities.
entity-overlap-v3,694,382,314.0,81961201,ashleevance,Ashlee Vance,201068,314,0.12455374851249504,unknown,,,,Followed by 314 of 2521 complete active Registry entities.
entity-overlap-v3,697,382,314.0,747538968,hazyresearch,Hazy Research: Strip Mall AI Research Club,11250,314,0.12455374851249504,unknown,,,,Followed by 314 of 2521 complete active Registry entities.
entity-overlap-v3,698,382,314.0,18691746,juliagalef,Julia Galef,109375,314,0.12455374851249504,unknown,,,,Followed by 314 of 2521 complete active Registry entities.
entity-overlap-v3,714,385,311.0,3840,jason,@jason,1497559,311,0.12336374454581515,unknown,,,,Followed by 311 of 2521 complete active Registry entities.
entity-overlap-v3,715,385,311.0,30354991,kamalaharris,Kamala Harris,20972500,311,0.12336374454581515,unknown,,,,Followed by 311 of 2521 complete active Registry entities.
entity-overlap-v3,723,387,309.0,3511430425,fermatslibrary,Fermat's Library,790487,309,0.12257040856802856,unknown,,,,Followed by 309 of 2521 complete active Registry entities.
entity-overlap-v3,727,388,308.0,18622869,ezraklein,Ezra Klein,2508506,308,0.12217374057913527,unknown,,,,Followed by 308 of 2521 complete active Registry entities.
entity-overlap-v3,728,388,308.0,957374995721629696,gradientpub,The Gradient,21004,308,0.12217374057913527,unknown,,,,Followed by 308 of 2521 complete active Registry entities.
entity-overlap-v3,730,388,308.0,395978320,typesfast,Ryan Petersen,558684,308,0.12217374057913527,unknown,,,,Followed by 308 of 2521 complete active Registry entities.
entity-overlap-v3,734,390,306.0,1426476636,lishali88,Lisha,18599,306,0.12138040460134868,unknown,,,,Followed by 306 of 2521 complete active Registry entities.
entity-overlap-v3,735,390,306.0,1083465257077608451,wtgowers,Timothy Gowers @wtgowers,56791,306,0.12138040460134868,unknown,,,,Followed by 306 of 2521 complete active Registry entities.
