position,score_rank,x_id,handle,display_name,followers_count,cohort_follow_count,cohort_follow_share,registry_state,entity_id,entity_kind,entity_name,explanation
586,338,715582520197156865,taliaringer,Talia Ringer 🕊🪬,32834,322,0.14656349567592172,unknown,,,,Followed by 322 of 2197 complete active Registry entities.
603,343,1008492120125030400,kelseytuoc,Kelsey Piper,65521,317,0.14428766499772416,unknown,,,,Followed by 317 of 2197 complete active Registry entities.
615,347,1113492634021048320,cohere_labs,Cohere Labs,26808,313,0.14246700045516614,unknown,,,,Followed by 313 of 2197 complete active Registry entities.
627,350,14230772,matt_levine,Matt Levine,324673,310,0.14110150204824762,unknown,,,,Followed by 310 of 2197 complete active Registry entities.
633,353,12901712,bchesky,Brian Chesky,1265983,307,0.1397360036413291,unknown,,,,Followed by 307 of 2197 complete active Registry entities.
637,353,999823638932189184,mila_quebec,Mila - Institut québécois d'IA,36437,307,0.1397360036413291,unknown,,,,Followed by 307 of 2197 complete active Registry entities.
639,354,950189417754513409,charles_irl,Charles 🎉 Frye @ ICML,19107,306,0.13928083750568956,unknown,,,,Followed by 306 of 2197 complete active Registry entities.
644,354,845968426011119616,vectorinst,Vector Institute,29623,306,0.13928083750568956,unknown,,,,Followed by 306 of 2197 complete active Registry entities.
647,355,1810393276287168516,eurekalabsai,Eureka Labs,87826,305,0.13882567137005006,unknown,,,,Followed by 305 of 2197 complete active Registry entities.
652,356,1123336792021897216,aclmeeting,ACL 2026,23702,304,0.13837050523441055,unknown,,,,Followed by 304 of 2197 complete active Registry entities.
663,358,18691746,juliagalef,Julia Galef,109355,302,0.13746017296313154,unknown,,,,Followed by 302 of 2197 complete active Registry entities.
667,358,107225267,sapinker,Steven Pinker,857533,302,0.13746017296313154,unknown,,,,Followed by 302 of 2197 complete active Registry entities.
675,360,4157611,willknight,Will Knight,21924,300,0.13654984069185253,unknown,,,,Followed by 300 of 2197 complete active Registry entities.
686,364,747538968,hazyresearch,Hazy Research: Strip Mall AI Research Club,11242,296,0.1347291761492945,unknown,,,,Followed by 296 of 2197 complete active Registry entities.
689,364,11348282,nasa,NASA,92163442,296,0.1347291761492945,unknown,,,,Followed by 296 of 2197 complete active Registry entities.
690,364,1349149096909668363,potus46archive,President Biden Archived,35672231,296,0.1347291761492945,unknown,,,,Followed by 296 of 2197 complete active Registry entities.
695,365,957374995721629696,gradientpub,The Gradient,21008,295,0.134274010013655,unknown,,,,Followed by 295 of 2197 complete active Registry entities.
697,366,1274287728167915522,primeintellect,Prime Intellect,71015,294,0.1338188438780155,unknown,,,,Followed by 294 of 2197 complete active Registry entities.
701,368,5763262,karaswisher,Kara Swisher,1701899,292,0.13290851160673645,unknown,,,,Followed by 292 of 2197 complete active Registry entities.
707,368,1083465257077608451,wtgowers,Timothy Gowers @wtgowers,56788,292,0.13290851160673645,unknown,,,,Followed by 292 of 2197 complete active Registry entities.
710,369,816653,techcrunch,TechCrunch,10414955,291,0.13245334547109694,unknown,,,,Followed by 291 of 2197 complete active Registry entities.
716,371,21066583,cademetz,Cade Metz,32216,289,0.13154301319981793,unknown,,,,Followed by 289 of 2197 complete active Registry entities.
723,372,41609220,isbellhfh,Charles Isbell,8996,288,0.13108784706417842,unknown,,,,Followed by 288 of 2197 complete active Registry entities.
727,373,3511430425,fermatslibrary,Fermat's Library,790494,287,0.1306326809285389,unknown,,,,Followed by 287 of 2197 complete active Registry entities.
737,375,3315205122,deepfates,🎭,62472,285,0.1297223486572599,unknown,,,,Followed by 285 of 2197 complete active Registry entities.
740,376,301427990,laurademing,Laura 🌲 ⛰️,166021,284,0.1292671825216204,unknown,,,,Followed by 284 of 2197 complete active Registry entities.
744,377,18622869,ezraklein,Ezra Klein,2499660,283,0.1288120163859809,unknown,,,,Followed by 283 of 2197 complete active Registry entities.
752,378,1426476636,lishali88,Lisha,18604,282,0.12835685025034138,unknown,,,,Followed by 282 of 2197 complete active Registry entities.
754,379,81961201,ashleevance,Ashlee Vance,201075,281,0.12790168411470187,unknown,,,,Followed by 281 of 2197 complete active Registry entities.
766,381,1254910635906789378,ml_collective,ML Collective,14625,279,0.12699135184342286,unknown,,,,Followed by 279 of 2197 complete active Registry entities.
767,381,41280228,peterjliu,Peter J. Liu,9036,279,0.12699135184342286,unknown,,,,Followed by 279 of 2197 complete active Registry entities.
770,382,5721582,altryne,Alex Volkov @ AI Engineer,41650,278,0.12653618570778333,unknown,,,,Followed by 278 of 2197 complete active Registry entities.
775,383,1561918448766173185,aieleuther,EleutherAI,28308,277,0.12608101957214382,unknown,,,,Followed by 277 of 2197 complete active Registry entities.
776,383,1236101,benedictevans,Benedict Evans,351030,277,0.12608101957214382,unknown,,,,Followed by 277 of 2197 complete active Registry entities.
