entity_id,organization,x_handle,followers_count,latest_timeline_post_at,activity_status,latest_post_url,error
2334,Kling AI,@kling_ai,134092,2026-07-11T00:00:00+00:00,active,https://x.com/Kling_ai/status/2075731799867842818,
2978,LAION,@laion_ai,15476,2026-07-07T18:00:33+00:00,active,https://x.com/laion_ai/status/2074554176307101973,
973,LangChain,@langchain,255819,2026-07-10T21:00:47+00:00,active,https://x.com/LangChain/status/2075686695932997862,
3005,Liquid AI,@liquidai,31483,2026-07-11T06:43:37+00:00,active,https://x.com/liquidai/status/2075833371075162435,
2392,Magic,@magicailabs,15895,2024-11-21T18:11:49+00:00,active,https://x.com/magicailabs/status/1859661004906561929,
2753,Manus,@manusai,248931,2026-07-10T14:56:19+00:00,active,https://x.com/ManusAI/status/2075594976826900821,
2893,Martian,@withmartian,2708,2026-06-29T21:23:48+00:00,active,https://x.com/withmartian/status/2071706220562649508,
2354,MatX,@matxcomputing,4539,2026-02-24T22:39:07+00:00,active,https://x.com/MatXComputing/status/2026426694253600904,
4,Meta AI (FAIR / superintelligence),@aiatmeta,821681,2026-07-09T19:53:11+00:00,active,https://x.com/AIatMeta/status/2075307298432676259,
2366,Metal,@metal__ai,1288,2024-08-01T14:40:11+00:00,active,https://x.com/metal__ai/status/1819020307945910360,
2347,METR,@metr_evals,26940,2026-07-11T07:47:17+00:00,active,https://x.com/METR_Evals/status/2075849392553357512,
852,Midjourney,@midjourney,459199,2026-07-08T19:14:54+00:00,active,https://x.com/midjourney/status/2074935272895361183,
2324,MiniMax (official),@minimax_ai,103118,2026-07-10T23:52:49+00:00,active,https://x.com/MiniMax_AI/status/2075729989987959091,
5,Mistral AI,@mistralai,199190,2026-07-09T08:15:52+00:00,active,https://x.com/MistralAI/status/2075131809638088865,
5,Mistral AI,@mistraldevs,11420,2026-07-09T14:57:27+00:00,active,https://x.com/MistralDevs/status/2075232873586565608,
3018,Modal,@modal,31887,2026-07-09T20:03:46+00:00,active,https://x.com/modal/status/2075309959139545300,
2621,Moonvalley,@moonvalley,2948,2025-09-02T18:37:35+00:00,active,https://x.com/moonvalley/status/1962948033622245480,
2328,Ndea,@ndea,10977,2026-07-01T15:50:08+00:00,active,https://x.com/ndea/status/2072347026260644140,
3002,NeurIPS Conference,@neuripsconf,158964,2026-07-04T04:21:49+00:00,active,https://x.com/NeurIPSConf/status/2073260969317244980,
2958,No Priors,@nopriorspod,11617,2026-07-10T18:46:57+00:00,active,https://x.com/NoPriorsPod/status/2075653017668661749,
2974,Nous Research,@nousresearch,232055,2026-07-10T21:45:50+00:00,active,https://x.com/NousResearch/status/2075698031844818990,
2725,npm i task-master-ai,@taskmasterai,8717,2025-08-16T13:19:41+00:00,active,https://x.com/TaskmasterAI/status/1956707438683422981,
951,NVIDIA AI,@nvidiaai,315200,2026-07-10T17:37:46+00:00,active,https://x.com/NVIDIAAI/status/2075635607175602189,
2352,ollama,@ollama,169362,2026-07-10T20:56:44+00:00,active,https://x.com/ollama/status/2075685678130639036,
6,OpenAI,@openai,5006857,2026-07-11T02:27:18+00:00,active,https://x.com/OpenAI/status/2075768868350677206,
6,OpenAI,@openaidevs,372664,2026-07-10T23:00:13+00:00,active,https://x.com/OpenAIDevs/status/2075716750822551688,
2656,OpenClaw🦞,@openclaw,544676,2026-07-08T23:37:42+00:00,active,https://x.com/openclaw/status/2075001411939815589,
2495,Paperspace (now DigitalOcean),@hellopaperspace,5928,2024-10-29T21:47:28+00:00,active,https://x.com/HelloPaperspace/status/1851380355800224063,
2367,Perplexity,@perplexity_ai,496459,2026-07-10T19:14:56+00:00,active,https://x.com/perplexity_ai/status/2075660058625790159,
889,Physical Intelligence,@physical_int,45304,2026-06-18T18:38:05+00:00,active,https://x.com/physical_int/status/2067678249904493008,
999,Pika,@pika_labs,149954,2026-07-10T23:57:22+00:00,active,https://x.com/pika_labs/status/2075731134550507903,
2901,Pipedream,@pipedream,7883,2025-12-04T16:44:35+00:00,active,https://x.com/pipedream/status/1996621666760405240,
2418,Qdrant,@qdrant_engine,13334,2026-07-09T12:48:02+00:00,active,https://x.com/qdrant_engine/status/2075200302282609039,
7,Qwen (Alibaba),@alibaba_qwen,224885,2026-06-24T09:52:43+00:00,active,https://x.com/Alibaba_Qwen/status/2069720365442719867,
2617,Recraft,@recraftai,16526,2026-07-10T21:32:07+00:00,active,https://x.com/recraftai/status/2075694582528979122,
2384,Reka,@rekaailabs,19760,2026-07-08T17:11:30+00:00,active,https://x.com/RekaAILabs/status/2074904219325489442,
3011,Replicate,@replicate,52747,2026-07-09T20:07:48+00:00,active,https://x.com/replicate/status/2075310975545184501,
3050,Runway,@runwayml,283314,2026-07-09T15:41:49+00:00,active,https://x.com/runwayml/status/2075244036986740987,
8,Safe Superintelligence Inc.,@ssi,108360,2024-09-04T13:37:12+00:00,active,https://x.com/ssi/status/1831325643226890379,
2547,Sakana AI,@sakanaailabs,135823,2026-07-11T10:09:51+00:00,active,https://x.com/SakanaAILabs/status/2075885269958754483,
3000,Sarvam,@sarvamai,79827,2026-07-06T13:00:19+00:00,active,https://x.com/SarvamAI/status/2074116231461011764,
892,Sequoia Capital,@sequoia,773913,2026-07-10T17:22:20+00:00,active,https://x.com/sequoia/status/2075631721870213356,
2372,SkyPilot,@skypilot_org,5726,2026-07-08T21:07:27+00:00,active,https://x.com/skypilot_org/status/2074963598112436678,
466,SpaceX,@spacex,41877022,2026-07-11T04:12:59+00:00,active,https://x.com/SpaceX/status/2075795462104182824,
466,SpaceX,@spacexai,2005697,2026-07-10T15:41:13+00:00,active,https://x.com/SpaceXAI/status/2075606273031291050,
